stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_desc,stop_name,location_type,stop_code
-36.83068,merged_29,174.60605,5574-20180702170310_v67.28,21545-20180702170310_v67.28,,458 Don Buck Rd,0,5574
-36.86597,merged_29,174.70685,8015-20180702170310_v67.28,11121-20180702170310_v67.28,,152 Pt Chevalier Rd,0,8015
-36.76143,merged_30,174.71015,41444-20180725154052_v68.11,,,84 to 89 Albany Hwy,1,41444
-36.97476,merged_30,174.82975,51659-20180725154052_v68.11,,,Raglan St/Cheviot St,1,51659
-37.03425,merged_29,174.88828,6834-20180702170310_v67.28,51144-20180702170310_v67.28,,80 Friedlanders Rd,0,6834
-36.87202,merged_29,174.74493,8210-20180702170310_v67.28,11787-20180702170310_v67.28,,434 New North Rd,0,8210
-36.89642,merged_29,174.63504,1659-20180702170310_v67.28,61173-20180702170310_v67.28,,9 Seymour Rd,0,1659
-36.7752,merged_30,174.76069,3318-20180725154052_v68.11,41104-20180725154052_v68.11,,36 Shakespeare Rd,0,3318
-36.93715,merged_29,174.84789,51622-20180702170310_v67.28,,,Luke St/Otahuhu Intermediate,1,51622
-36.85748,merged_30,174.76169,7064-20180725154052_v68.11,11022-20180725154052_v68.11,,520 Queen St,0,7064
